,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,retail
0,natural lino,ofertas_principales,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blte83fae35a6d401da/67213c96db70c1c3a5f1a3a3/NATURAL-vitrina01-dk-041124-NE.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-11-04 18:42:25.838569,falabella
1,apple week,ofertas_principales,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt5ce965c99a7609c1/6728ea8b65b6a07fc9af547e/apple-vitrina02-dk-041124-ctt.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-11-04 18:42:25.838569,falabella
2,muebles de comedor 40%,ofertas_principales,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt2ed77e8321963140/672290d51370ae726953eff3/Comedor-vitrina03-dk-041124-Chris.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-11-04 18:42:25.838569,falabella
3,semana ninja,ofertas_principales,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt2db616a38917e58d/6722781401c9b36cc22be2cf/Ninja-vitrina04-dk-041124-ct.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-11-04 18:42:25.838569,falabella
4,mundo bebe,ofertas_principales,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt14df2ba9ac200f9b/6722862a9603ee8650b1b363/Mundobebe-vitrina05-dk-041124-jr.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-11-04 18:42:25.838569,falabella
5,camas,ofertas_principales,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blta0de2e0922cd0ad7/6722793ac6b13e4870bb247a/Camas-vitrina06-dk-041124-NM.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-11-04 18:42:25.838569,falabella
6,refrigeracion,ofertas_principales,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt3fdb6fa21a54558d/67225e3101c9b3d5f12be1dc/Refrigeracion-vitrina07-dk-041124-ct.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-11-04 18:42:25.838569,falabella
7,fan,banner_largo,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltdfa336c40c90785b/6721404699ffa7425e2ff836/DecoFAN-dk-banner12col-291024-NM.jpg?auto=webp&quality=70&width=90p,2024-11-04 18:42:25.838569,falabella
8,ballerinas $19.990,banner_largo,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt0375bc0476bec137/67213d168c3f95f37a4ad03c/Ballerinas-banner12col-dk-0411-ne.jpg?auto=webp&quality=70&width=90p,2024-11-04 18:42:25.838569,falabella
9,planes,banner_largo,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1a41e44bb5b4dcb7/67226058f8375b7efa3ad3f8/Huincha-planes-dk-banner12col-041124-ct.jpg?auto=webp&quality=70&width=90p,2024-11-04 18:42:25.838569,falabella
