,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,retail
0,"desodorantes dove,",ofertas_prime,1,https://assets.jumbo.cl/uploads/2024/12/desktop-home-carrusel-sw-unilever-dove-rexono-axe-S49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
1,pepsodent,ofertas_prime,2,https://assets.jumbo.cl/uploads/2024/11/desktop-home-carrusel-sw-unilever-pepsodent-S49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
2,dove capilar,ofertas_prime,3,https://assets.jumbo.cl/uploads/2024/11/desktop-home-carrusel-sw-unilever-dove-S49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
3,jabones dove y,ofertas_prime,4,https://assets.jumbo.cl/uploads/2024/11/desktop-home-carrusel-sw-unilever-le-sancy-S49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
4,bombazo exclusivo ecomm - lechuga escarola 990 (pref: 1.390) ,ofertas_middle,1,https://assets.jumbo.cl/uploads/2024/12/2-desktop-home-huincha-bombazo-excl-lechuga-escalona-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
5,especial - animales exoticos ,ofertas_middle,2,https://assets.jumbo.cl/uploads/2024/11/desktop-home-huincha-animales-exoticos-s47-21112024.jpg,2024-12-06 11:05:07.626561,jumbo
6,especial - productos hechos en jumbo ,ofertas_grid,1,https://assets.jumbo.cl/uploads/2024/11/desktop-home-huincha-hecho-en-jumbo-12112024.png,2024-12-06 11:05:07.626561,jumbo
7,cencopay - todas las ofertas mensuales del cencopay ,ofertas_grid,2,https://assets.jumbo.cl/uploads/2024/12/1-desktop-home-huincha-navidena-s49-05122024.png,2024-12-06 11:05:07.626561,jumbo
8,huincha - huincha mi cupon ,ofertas_grid,3,https://assets.jumbo.cl/uploads/2024/11/desktop-home-huincha-micupon-s46-11112024.png,2024-12-06 11:05:07.626561,jumbo
9,proveedor huincha home - carozzi ,ofertas_grid,4,https://assets.jumbo.cl/uploads/2024/12/desktop-home-huincha-proveedor-carozzi-nik-bresler-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
10,"raid, lysoform, glade, pato hasta 20% dcto.",ofertas_grid,8,https://assets.jumbo.cl/uploads/2024/12/desktop-home-vitrina-proveedor-SCJ-lysoform.glade_.pato-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
11,quesos quillayes seleccionados hasta 30% dcto.,ofertas_grid,9,https://assets.jumbo.cl/uploads/2024/12/desktop-home-vitrina-proveedor-quillayes-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
12,jugos y nectar livean hasta 30% dcto.,ofertas_grid,10,https://assets.jumbo.cl/uploads/2024/12/desktop-home-vitrina-proveedor-livean-jugos-nectar-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
13,coca-cola hasta 30% dcto.,ofertas_grid,11,https://assets.jumbo.cl/uploads/2024/12/desktop-home-vitrina-proveedor-andina.coca-cola-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
14,"bombazo exclusivo ecomm - 40% descto en juegos hasbro, play",ofertas_grid,12,https://assets.jumbo.cl/uploads/2024/12/desktop-home-grilla-juegos-hasbro-playdoh-transformers-beyblade-s49-05122024.jpg,2024-12-06 11:05:07.626561,jumbo
15,especial - !regalos para todos! ,ofertas_grid,13,https://assets.jumbo.cl/uploads/2024/12/desktop-home-grilla-regalos-para-todos-s49-05122024.jpg,2024-12-06 11:05:07.626561,jumbo
16,"prime - tiritas, filete o trutro corto de pollo asado congelado cuisine & co 800g y 1kg 25%dcto. ",ofertas_grid,14,https://assets.jumbo.cl/uploads/2024/11/desktop-Home-JumboPrime-grillagrande-Tiritas-filete-o-trutro-corto-de-pollo-asado-congelado-Cuisine-Co-800g-y-1kg-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
17,prime - toda la vina tarapaca 40% descto ,ofertas_grid,15,https://assets.jumbo.cl/uploads/2024/11/desktop-Home-grillachica-VinaDelMes-JumboPrime-Diciembre-Tarapaca-s49-01122024.jpg,2024-12-06 11:05:07.626561,jumbo
18,prime - todas las cervezas kunstmann 40% descto ,ofertas_grid,16,https://assets.jumbo.cl/uploads/2024/11/desktop-Home-grillachica-CervezaDelMes-JumboPrime-Diciembre-Kunstmann-s49-01122024.jpg,2024-12-06 11:05:07.626561,jumbo
19,mobile-landing,ofertas_grid,20,https://assets.jumbo.cl/uploads/2024/11/mobile-landing-loreal-banner-proveedor-loreal-S46-11112024.jpg,2024-12-06 11:05:07.626561,jumbo
20,desktop-home,ofertas_grid,21,https://assets.jumbo.cl/uploads/2024/11/desktop-HOME-landing-diageo-proveedor-banner-whiskys-s49-29122024.png,2024-12-06 11:05:07.626561,jumbo
21,proveedor huincha home - p&g ,ofertas_grid,22,https://assets.jumbo.cl/uploads/2024/12/desktop-home-GrillaChica-proveedor-pyg-herbal-essences-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
22,proveedor huincha home - softys ,ofertas_grid,24,https://assets.jumbo.cl/uploads/2024/12/desktop-home-GrillaChica-proveedor-softys-elite-s49-03122024.jpg,2024-12-06 11:05:07.626561,jumbo
