,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,retail
0,hasta 50% perfumes grandes marcas,ofertas_principales,1,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/675754bb72b57f1e85324c3d/f4462767-ffc1-48dd-9465-82f00d000288.webp,2024-12-10 13:28:44.459774,paris
1,hasta 50% vestuario mujer hombre infantil. productos seleccionados,ofertas_principales,2,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/carrusel_banner_navidad_10dic24_vestuario_desk.jpg?v=2,2024-12-10 13:28:44.459774,paris
2,videojuegos,ofertas_principales,3,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/carrusel_banner_navidad_10dic24_videojuego_desk.jpg?v=1,2024-12-10 13:28:44.459774,paris
3,zapatillas,ofertas_principales,4,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/675754bb72b57f1e85324c3d/5de518b1-a887-455d-a2ee-084f962c2a9b.webp,2024-12-10 13:28:44.459774,paris
4,evento apple,ofertas_principales,5,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/carrusel_banner_navidad_10dic24_celulares_desk.webp,2024-12-10 13:28:44.459774,paris
5,computacion,ofertas_principales,6,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/carrusel_banner_navidad_10dic24_computacion_desk.jpg?v=1,2024-12-10 13:28:44.459774,paris
6,television,ofertas_principales,7,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/carrusel_banner_navidad_10dic24_tv_desk.jpg?v=1,2024-12-10 13:28:44.459774,paris
7,linea blanca,ofertas_principales,8,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/carrusel_banner_navidad_10dic24_lb_desk.webp,2024-12-10 13:28:44.459774,paris
8,ofertas de smartwatch en navidad,grid_ofertas,1,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/destacado_huincha_navidad_10dic24_smartwatch_desk.webp?v=2,2024-12-10 13:28:44.459774,paris
9,ofertas de colchones en navidad,grid_ofertas,3,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/destacado_caluga_navidad_10dic24_colchones.webp?v=1,2024-12-10 13:28:44.459774,paris
10,hasta 40% dcto en minicomponentes,grid_ofertas,4,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/destacado_caluga_navidad_10dic24_audio.webp?v=1,2024-12-10 13:28:44.459774,paris
11,hasta 50% cocina,grid_ofertas,5,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/destacado_caluga_navidad_10dic24_cocina.webp?v=1,2024-12-10 13:28:44.459774,paris
12,ofertas de batidoras y licuadoras,grid_ofertas,6,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/destacado_caluga_navidad_10dic24_electro.webp?v=1,2024-12-10 13:28:44.459774,paris
13,hasta 50% dcto vestuario,grid_ofertas,8,https://cl-paris-media-hub.ecomm.cencosud.com/files/home/home_navidad/2024/destacado_banner_navidad_10dic24_mkpvestuario.webp?v=1,2024-12-10 13:28:44.459774,paris
