,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,retail,descripcion_promo,duracion_promo,descuentos_promo,categorias_en_promo,marcas_en_promo,publico_objetivo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
0,jugueteria,ofertas_principales,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt783f0a3eee9323ea/6751e85bc15d2b214842a391/Juguetonazo-vitrina01-dk-051224-NM.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,"venta especial navidad con un 30% de descuento con pago único (unica, CMR, débito Falabella) y 20% de descuento con cualquier otro medio de pago sobre el precio normal en juguetería de mejores marcas en productos seleccionados.",,30%,"['juguetería', 'mejores', 'marcas']","['Barbie', 'Hot Wheels', 'Pokemon', 'Polly Pocket', 'Fisher-Price', 'Sonic', 'Play-Doh', 'Nintendo', ""Gabby's Dollhouse"", 'Hello Kitty', 'Nerf']","['infantil', 'familiar', 'festivo', 'juguetón', 'regalón']",,,,
1,perfumes,ofertas_principales,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt3d823ad7b760cc2b/673b6414b35d66560d6d8cda/Belleza-vitrina02-dk-181124-ne.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,promoción de perfumes selectos de diferentes marcas a $39.990 en navidad.,,,"['perfumes', 'fragancias', 'navidad']","['ralph lauren', 'rabanne', 'tommy hilfiger', 'carolina herrera', 'lancome']","['adulto', 'femenino', 'masculino', 'urbano', 'moderno']","[{'nombre_del_producto': None, 'precio_normal': None, 'precio_oferta': 39990, 'descuento': None}]",,,
2,vestuario mujer,ofertas_principales,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt29e2acf707d7899f/6752055cc15d2bcf3042a479/Vestidos-vitrina0-dk-051224-CS.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,"promoción de vestidos para mujer de diferentes marcas como mango, basement, americanino, sybilla y university club.  se muestran dos vestidos con precios: un vestido de basement a $19.990 y un vestido midi de sybilla a $14.990. la promoción se centra en la temporada navideña.",,,"['vestidos', 'ropa', 'mujer']","['mango', 'basement', 'americanino', 'sybilla', 'university club']","['femenino', 'adulto', 'urbano', 'moderno', 'estilosa']","[{'nombre_del_producto': 'basement vestido mujer', 'precio_normal': None, 'precio_oferta': 19990, 'descuento': None}, {'nombre_del_producto': 'sybilla vestido midi', 'precio_normal': None, 'precio_oferta': 14990, 'descuento': None}]",,,
3,apple week,ofertas_principales,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt4137721ecc4f8b55/674f2d0ccf47324c628c4020/apple-V04-dk-031224-ctt.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,apple week con 12 cuotas sin interés con CMR en productos seleccionados. vigencia desde el 02/12 al 14/12,"[{'fecha_inicio_promo': '02/12/2022', 'fecha_termino_promo': '14/12/2022', 'dias_duracion': 13}]",,"['iphone', 'macbook', 'ipad']",['apple'],"['tecnológico', 'moderno', 'estudiante', 'profesional', 'adulto']",[],12.0,,
4,virales perfumes,ofertas_principales,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt9367cf4a9905a1d7/67366e6434bcb221132375e2/ViralesB-vitrina06-dk-111124-IR.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,"promoción de navidad con descuentos en productos de belleza de diferentes marcas como ariana grande, sol de janeiro, wow y rare beauty.",,,"['belleza', 'cosmeticos', 'perfumes']","['ariana grande', 'sol de janeiro', 'wow', 'rare beauty']","['femenino', 'joven', 'urbano', 'moderno', 'consciente']","[{'nombre_del_producto': 'color wow dream coat extra strength', 'precio_normal': 87990, 'precio_oferta': 37990, 'descuento': '56%'}, {'nombre_del_producto': 'sol de janeiro beija flor elasti-cream', 'precio_normal': None, 'precio_oferta': 35990, 'descuento': None}, {'nombre_del_producto': 'ariana grande cloud edp 100ml', 'precio_normal': 74990, 'precio_oferta': 54990, 'descuento': '27%'}]",,,
5,carolina herrera,ofertas_principales,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt6ef1b189a2213b5d/674f1aeda1696b39657a1ca9/belleza%E2%80%94vitrina06-dk-221124_%E2%80%93PR_%E2%80%93_3.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,promoción de perfumes carolina herrera para navidad.  encuentra el regalo ideal.,,,"['perfumes', 'regalos', 'navidad']",['carolina herrera'],"['femenino', 'adulto', 'elegante', 'sofisticado', 'exclusivo']",[],,,
6,deportes,ofertas_principales,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt9da74370535dc309/6736ccdf23d2aef0a4cf8324/deporte-vitrina06-dk-151124-gmc.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,"promoción de navidad con artículos deportivos de fútbol, incluyendo pelotas y guantes de marcas reconocidas como adidas, diadora y molten. se muestra una pelota adidas a $17.990 y guantes diadora a $14.990.",,,"['pelotas', 'guantes', 'futbol']","['adidas', 'diadora', 'molten', 'puma']","['deportista', 'masculino', 'juvenil', 'aficionado', 'futbolero']","[{'nombre_del_producto': 'pelota adidas', 'precio_normal': None, 'precio_oferta': 17990, 'descuento': None}, {'nombre_del_producto': 'guantes diadora', 'precio_normal': None, 'precio_oferta': 14990, 'descuento': None}]",,,
7,regalables electro,ofertas_principales,8,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltce675e0aff009331/674f680e4dc5f0051f9bc09c/regalables-vitrina07-dk-031224-ct.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,"promoción navideña con descuentos en audífonos, smartwatch, parlantes y control de playstation.",,,"['audifonos', 'smartwatch', 'parlantes']","['lenovo', 'master-g', 'jbl', 'playstation']","['joven', 'tecnológico', 'urbano', 'moderno', 'digital']","[{'nombre_del_producto': 'lenovo audífonos lp40 + smartwatch toumi fit 2', 'precio_normal': 39990, 'precio_oferta': 16990, 'descuento': '57%'}, {'nombre_del_producto': 'master-g audífonos bluetooth buds30', 'precio_normal': 89990, 'precio_oferta': 29990, 'descuento': '67%'}, {'nombre_del_producto': 'jbl go 4 parlante portátil bluetooth', 'precio_normal': 59990, 'precio_oferta': 39990, 'descuento': '33%'}, {'nombre_del_producto': 'playstation control inalámbrico dualsense', 'precio_normal': 84990, 'precio_oferta': 64990, 'descuento': '24%'}]",,,
8,tdb,ofertas_principales,9,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt5f1d223d4cfeabf6/673f2a0a31c382374f8d0115/TDB-vitrina06-dk-201124-ne.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,"promoción de tendencias de verano con productos de las marcas benetton, sybilla, aguabendita, eucerin, vichy y la roche-posay. la imagen muestra ropa de cama a rayas, bolsos de playa y protectores solares.",,,"['ropa', 'cosméticos', 'accesorios']","['benetton', 'sybilla', 'aguabendita', 'eucerin', 'vichy', 'la roche-posay']","['femenino', 'juvenil', 'estilosa', 'moderno', 'veraniego']",[],,,
9,consolas,ofertas_principales,10,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt280c0f93ba405276/6751ae55f6be7617c3aac774/Videojuegos-vitrina05-dk-031224-ct.jpg?auto=webp&disable=upscale&quality=70&width=1920,2024-12-06 10:59:20.190599,falabella,"promoción navideña de videojuegos con descuentos en consolas y juegos de nintendo, playstation y meta. se ofrecen precios especiales por tiempo limitado.",,,"['videojuegos', 'consolas', 'realidad virtual']","['nintendo', 'playstation', 'meta']","['gamer', 'entusiasta', 'tecnológico', 'juvenil', 'adulto']","[{'nombre_del_producto': 'nintendo hw switch oled + super mario wonder', 'precio_normal': 459990, 'precio_oferta': 349990, 'descuento': '24%'}, {'nombre_del_producto': 'playstation ps5 slim digital + juego fortnite', 'precio_normal': 699990, 'precio_oferta': 519990, 'descuento': '26%'}, {'nombre_del_producto': 'nintendo meta quest 3s 128gb + batman arkham shadow', 'precio_normal': 599990, 'precio_oferta': 419990, 'descuento': '30%'}]",,,
